2	28	0	-2	2	1	2	1	12	-2	2	0	2	60	1	-2	56	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	16	4	2	10	5	-2	13	12	2	10	4	-2	22	5	2	19	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	
2	28	0	-2	5	2	2	3	12	0	66	12	0	66	12	0	66	12	-2	5	0	2	65	2	-2	63	12	0	66	12	0	66	12	0	66	12	-2	16	4	2	11	6	-2	14	12	0	66	12	0	66	12	0	66	12	2	11	4	-2	27	6	2	25	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	
2	28	0	-2	0	3	2	4	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	0	0	2	9	3	-2	8	12	-2	16	4	2	12	7	-2	15	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	2	12	4	-2	32	7	2	31	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	
0	66	12	0	66	12	0	66	12	2	60	1	-2	59	2	-2	58	12	-2	59	1	2	65	2	2	62	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	22	5	2	17	6	2	21	12	2	17	5	-2	27	6	-2	24	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	
0	66	12	0	66	12	0	66	12	2	60	1	-2	55	3	-2	57	12	0	66	12	0	66	12	0	66	12	-2	55	1	2	9	3	2	6	12	0	66	12	0	66	12	0	66	12	-2	22	5	2	18	7	2	20	12	0	66	12	0	66	12	0	66	12	2	18	5	-2	32	7	-2	29	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	
0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	2	65	2	-2	61	3	-2	64	12	-2	61	2	2	9	3	2	7	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	27	6	2	23	7	2	26	12	2	23	6	-2	32	7	-2	30	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	
2	28	0	-2	2	1	2	1	12	-2	2	0	2	60	1	-2	56	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	39	8	2	33	9	-2	36	12	2	33	8	-2	45	9	2	42	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	
2	28	0	-2	5	2	2	3	12	0	66	12	0	66	12	0	66	12	-2	5	0	2	65	2	-2	63	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	39	8	2	34	10	-2	37	12	0	66	12	0	66	12	0	66	12	2	34	8	-2	50	10	2	48	12	0	66	12	0	66	12	0	66	12	
2	28	0	-2	0	3	2	4	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	0	0	2	9	3	-2	8	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	39	8	2	35	11	-2	38	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	2	35	8	-2	54	11	2	53	12	
0	66	12	0	66	12	0	66	12	2	60	1	-2	59	2	-2	58	12	-2	59	1	2	65	2	2	62	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	45	9	2	40	10	2	44	12	2	40	9	-2	50	10	-2	47	12	0	66	12	0	66	12	0	66	12	
0	66	12	0	66	12	0	66	12	2	60	1	-2	55	3	-2	57	12	0	66	12	0	66	12	0	66	12	-2	55	1	2	9	3	2	6	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	45	9	2	41	11	2	43	12	0	66	12	0	66	12	0	66	12	2	41	9	-2	54	11	-2	51	12	
0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	2	65	2	-2	61	3	-2	64	12	-2	61	2	2	9	3	2	7	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	0	66	12	-2	50	10	2	46	11	2	49	12	2	46	10	-2	54	11	-2	52	12	
