1	28	0	0	-2	2	0	1	2	1	0	12	1	60	1	1	-2	56	1	12	-1	16	4	4	2	10	4	5	-2	13	4	12	-1	22	5	5	2	19	5	12	
1	28	0	0	-2	5	0	2	2	3	0	12	1	65	2	2	-2	63	2	12	-1	16	4	4	2	11	4	6	-2	14	4	12	-1	27	6	6	2	25	6	12	
1	28	0	0	-2	0	0	3	2	4	0	12	1	9	3	3	-2	8	3	12	-1	16	4	4	2	12	4	7	-2	15	4	12	-1	32	7	7	2	31	7	12	
1	60	1	1	-2	59	1	2	-2	58	1	12	1	65	2	2	2	62	2	12	-1	22	5	5	2	17	5	6	2	21	5	12	-1	27	6	6	-2	24	6	12	
1	60	1	1	-2	55	1	3	-2	57	1	12	1	9	3	3	2	6	3	12	-1	22	5	5	2	18	5	7	2	20	5	12	-1	32	7	7	-2	29	7	12	
1	65	2	2	-2	61	2	3	-2	64	2	12	1	9	3	3	2	7	3	12	-1	27	6	6	2	23	6	7	2	26	6	12	-1	32	7	7	-2	30	7	12	
1	28	0	0	-2	2	0	1	2	1	0	12	1	60	1	1	-2	56	1	12	-1	39	8	8	2	33	8	9	-2	36	8	12	-1	45	9	9	2	42	9	12	
1	28	0	0	-2	5	0	2	2	3	0	12	1	65	2	2	-2	63	2	12	-1	39	8	8	2	34	8	10	-2	37	8	12	-1	50	10	10	2	48	10	12	
1	28	0	0	-2	0	0	3	2	4	0	12	1	9	3	3	-2	8	3	12	-1	39	8	8	2	35	8	11	-2	38	8	12	-1	54	11	11	2	53	11	12	
1	60	1	1	-2	59	1	2	-2	58	1	12	1	65	2	2	2	62	2	12	-1	45	9	9	2	40	9	10	2	44	9	12	-1	50	10	10	-2	47	10	12	
1	60	1	1	-2	55	1	3	-2	57	1	12	1	9	3	3	2	6	3	12	-1	45	9	9	2	41	9	11	2	43	9	12	-1	54	11	11	-2	51	11	12	
1	65	2	2	-2	61	2	3	-2	64	2	12	1	9	3	3	2	7	3	12	-1	50	10	10	2	46	10	11	2	49	10	12	-1	54	11	11	-2	52	11	12	
