2	28	0	10	2	2	4	6	2	3	4	7	2	0	4	8	2	1	4	9	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	
2	28	1	10	2	22	4	6	2	23	4	7	2	20	4	8	2	21	4	9	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	
2	28	2	10	-2	4	5	6	-2	5	5	7	-2	6	5	8	-2	7	5	9	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	
2	28	3	10	-2	8	5	6	-2	9	5	7	-2	10	5	8	-2	11	5	9	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	
2	2	0	6	2	3	0	7	2	0	0	8	2	1	0	9	2	22	1	6	2	23	1	7	2	20	1	8	2	21	1	9	-2	26	6	10	-2	27	7	10	-2	24	8	10	-2	25	9	10	
-2	4	2	6	-2	5	2	7	-2	6	2	8	-2	7	2	9	-2	8	3	6	-2	9	3	7	-2	10	3	8	-2	11	3	9	2	12	6	10	2	13	7	10	2	14	8	10	2	15	9	10	
2	2	0	4	2	22	1	4	-2	4	2	5	-2	8	3	5	-2	26	4	10	2	12	5	10	1	18	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	
2	3	0	4	2	23	1	4	-2	5	2	5	-2	9	3	5	-2	27	4	10	2	13	5	10	1	19	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	
2	0	0	4	2	20	1	4	-2	6	2	5	-2	10	3	5	-2	24	4	10	2	14	5	10	1	16	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	
2	1	0	4	2	21	1	4	-2	7	2	5	-2	11	3	5	-2	25	4	10	2	15	5	10	1	17	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	0	28	10	10	
