1	12	12	12	1	1	0	0	12	0	1	1	1	12	0	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	1	1	2	2	12	0	1	3	3	12	0	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	1	1	4	4	12	0	1	5	5	12	0	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	1	1	6	6	12	0	1	7	7	12	0	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	1	1	8	8	12	0	1	9	9	12	0	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	1	1	10	10	12	0	1	11	11	12	0	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	4	1	2	12	12	2	1	6	12	12	0	1	4	12	12	3	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	5	1	3	0	12	2	1	7	0	12	0	1	5	0	12	3	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	6	1	3	1	12	2	1	7	1	12	0	1	5	1	12	3	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	7	1	8	2	12	0	1	8	4	12	0	1	8	6	12	0	0	12	12	12	10	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	8	1	9	0	12	0	1	8	3	1	0	1	8	5	1	0	1	8	7	1	0	0	12	12	12	10	0	12	12	12	10	
1	12	12	12	9	1	11	3	12	0	1	11	5	12	0	1	11	7	12	0	1	10	9	2	1	1	10	9	4	1	1	10	9	6	1	
