2	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	0	8	0	35	11	0	35	11	1	11	8	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	0	2	1	11	3	1	22	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	
0	35	11	0	35	11	0	35	11	2	35	11	0	35	11	0	35	11	1	29	8	0	35	11	0	35	11	1	30	8	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	29	2	1	30	3	1	31	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	
1	0	8	0	35	11	0	35	11	1	29	8	0	35	11	0	35	11	2	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	1	9	0	35	11	0	35	11	1	2	9	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	0	0	1	29	1	1	32	11	1	1	4	1	2	5	1	3	11	0	35	11	0	35	11	0	35	11	
1	11	8	0	35	11	0	35	11	1	30	8	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	2	35	11	0	35	11	0	35	11	1	4	9	0	35	11	0	35	11	1	5	9	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	11	0	1	30	1	1	33	11	1	4	4	1	5	5	1	6	11	0	35	11	0	35	11	0	35	11	
0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	1	9	0	35	11	0	35	11	1	4	9	0	35	11	0	35	11	2	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	10	10	0	35	11	0	35	11	1	12	10	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	1	2	1	4	3	1	7	11	1	10	6	1	12	7	1	13	11	
0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	2	9	0	35	11	0	35	11	1	5	9	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	2	35	11	0	35	11	0	35	11	1	14	10	0	35	11	0	35	11	1	15	10	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	2	2	1	5	3	1	8	11	1	14	6	1	15	7	1	16	11	
0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	10	10	0	35	11	0	35	11	1	14	10	0	35	11	0	35	11	2	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	10	4	1	14	5	1	17	11	
0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	12	10	0	35	11	0	35	11	1	15	10	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	2	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	12	4	1	15	5	1	18	11	
1	0	2	1	11	3	1	22	11	1	29	2	1	30	3	1	31	11	1	0	0	1	29	1	1	32	11	1	11	0	1	30	1	1	33	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	
0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	1	4	1	2	5	1	3	11	1	4	4	1	5	5	1	6	11	1	1	2	1	4	3	1	7	11	1	2	2	1	5	3	1	8	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	
0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	1	10	6	1	12	7	1	13	11	1	14	6	1	15	7	1	16	11	1	10	4	1	14	5	1	17	11	1	12	4	1	15	5	1	18	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	0	35	11	
